Date;SAS_GPL;SAS_TTF;SAS_NCG;SAS_NBP
23/05/2014;-5.22583333;-5.17583333;-5.15083333;-6.64636031
26/05/2014;-5.22583333;-5.17583333;-5.15083333;-11.18233733
27/05/2014;-5.36666667;-5.32966667;-5.21666667;-6.29293136
28/05/2014;-5.49816667;-5.46116667;-5.34816667;-5.57996509
29/05/2014;-5.1105;-5.1735;-5.0355;-3.51161602
30/05/2014;-5.46516667;-5.40516667;-5.44316667;6.55415815
02/06/2014;-5.941;-5.674;-5.562;-4.6129081
03/06/2014;-5.663;-5.763;-5.775;-6.54556422
04/06/2014;-6.1025;-6.2025;-6.2145;37.93061624
05/06/2014;-6.31533333;-6.41533333;-6.42733333;-4.54744053
06/06/2014;-6.719;-6.819;-6.831;3.32944579
09/06/2014;-6.59916667;-6.56116667;-6.54816667;17.81106095
10/06/2014;-6.63016667;-6.59216667;-6.57916667;-18.83409119
11/06/2014;-6.57316667;-6.53516667;-6.52216667;-8.21472275
12/06/2014;-6.72233333;-6.68433333;-6.67133333;15.73747207
16/06/2014;-6.45666667;-6.59466667;-6.48166667;-19.30011674
17/06/2014;-6.75533333;-6.89333333;-6.78033333;-11.20364988
18/06/2014;-6.99733333;-7.13533333;-7.02233333;-13.50752347
19/06/2014;-6.9875;-7.1255;-7.0125;-8.59419275
20/06/2014;-6.9405;-7.0785;-6.9655;-10.21772694
23/06/2014;-6.805;-7.105;-7.117;-9.8235116
24/06/2014;-6.40883333;-6.70883333;-6.72083333;-12.26971447
25/06/2014;-6.14716667;-6.44716667;-6.45916667;-11.63564576
26/06/2014;-6.4245;-6.5625;-6.5745;-18.46564069
27/06/2014;-5.794;-6.019;-5.956;-10.32914039
30/06/2014;-6.35783333;-6.30783333;-6.33283333;-1.88126007
01/07/2014;-6.50633333;-6.45633333;-6.48133333;-1.84655461
02/07/2014;-6.68483333;-6.63483333;-6.65983333;-7.32720307
03/07/2014;-6.84733333;-6.79733333;-6.82233333;-7.75487864
04/07/2014;-7.35033333;-7.30033333;-7.32533333;-4.16610618
07/07/2014;-7.50383333;-7.45383333;-7.36683333;-13.48574285
08/07/2014;-7.47066667;-7.42066667;-7.33366667;-16.10131966
09/07/2014;-7.41166667;-7.36166667;-7.27466667;-14.94720909
10/07/2014;-7.42133333;-7.37133333;-7.28433333;2.33093666
11/07/2014;-7.52466667;-7.47466667;-7.38766667;-0.33652885
14/07/2014;-7.40116667;-7.42616667;-7.37616667;-9.25493978
15/07/2014;-7.46833333;-7.49333333;-7.44333333;-5.10473138
16/07/2014;-7.54733333;-7.57233333;-7.52233333;-0.14744974
17/07/2014;-7.54966667;-7.57466667;-7.52466667;-2.40950317
18/07/2014;-7.55733333;-7.58233333;-7.53233333;0.57379268
21/07/2014;-7.54933333;-7.51133333;-7.27433333;-14.57078955
22/07/2014;-7.73166667;-7.69366667;-7.45666667;-7.8799289
23/07/2014;-7.706;-7.668;-7.431;-3.90368063
24/07/2014;-7.458;-7.42;-7.183;-10.61611341
25/07/2014;-6.802;-6.764;-6.527;-0.04275616
28/07/2014;-6.50266667;-6.59066667;-6.64066667;-2.76521142
29/07/2014;-6.33883333;-6.42683333;-6.47683333;-7.67366366
30/07/2014;-5.27283333;-5.36083333;-5.41083333;1.78872078
31/07/2014;-5.63616667;-5.63616667;-5.67783333;8.78290276
01/08/2014;-2.958;-5.965;-6.00666667;6.7710027
04/08/2014;-6.33483333;-6.35983333;-6.34983333;-1.79594994
05/08/2014;-6.42233333;-6.44733333;-6.43733333;-2.08222234
06/08/2014;-6.45816667;-6.48316667;-6.47316667;-14.17504929
07/08/2014;-6.58683333;-6.61183333;-6.60183333;14.59951371
08/08/2014;-6.87083333;-6.89583333;-6.88583333;6.33468679
11/08/2014;-6.891;-6.966;-7.05716667;21.62514788
12/08/2014;-6.96283333;-7.03783333;-7.129;7.600866699
13/08/2014;-6.9585;-7.0335;-7.12466667;6.5373107
14/08/2014;-6.769;-6.844;-6.93516667;3.90757288
15/08/2014;-6.6745;-6.7495;-6.84066667;8.78919248
18/08/2014;-6.814;-6.864;-6.54983333;-4.18373712
19/08/2014;-6.65583333;-6.80333333;-6.89133333;-9.11243303
20/08/2014;-6.78083333;-6.92833333;-7.01633333;-1.4630227
21/08/2014;-6.807;-6.9545;-7.0425;-4.14285745
22/08/2014;-6.3455;-6.493;-6.581;-2.3294608
25/08/2014;-6.29233333;-6.411;-6.39633333;-5.66464521
26/08/2014;-6.14;-6.25866667;-6.244;-7.03248514
27/08/2014;-6.00133333;-6.12;-6.10533333;-5.03323108
28/08/2014;-3.178;-3.20966667;-3.158;-4.65926152
29/08/2014;-2.622;-2.9245;-3.0495;-0.27751094
01/09/2014;-1.49133333;-1.44133333;-1.37833333;-8.5694723
02/09/2014;-1.72033333;-1.72033333;-1.68333333;21.77449938
03/09/2014;-2.00816667;-2.00816667;-1.97116667;-2.35052173
04/09/2014;-1.95816667;-1.95816667;-1.92116667;-13.70654766
05/09/2014;-2.01916667;-2.01916667;-1.98216667;-7.19124639
08/09/2014;-2.48216667;-2.13216667;-2.18216667;-1.03753701
09/09/2014;-2.702;-2.352;-2.402;14.81983617
10/09/2014;-2.71416667;-2.36416667;-2.41416667;-21.12070724
11/09/2014;-2.712;-2.362;-2.412;41.23920188
12/09/2014;-2.95533333;-2.60533333;-2.65533333;-4.73732622
15/09/2014;1.74383333;1.74383333;1.74383333;-14.11588605
16/09/2014;-2.2195;-2.0565;-2.0065;-14.25074958
17/09/2014;-2.22383333;-2.06083333;-2.01083333;-10.83780698
18/09/2014;-2.01216667;-1.84916667;-1.79916667;-8.97328323
19/09/2014;-2.04866667;-1.88566667;-1.83566667;-6.12546878
