Date (CET);LDZ;Actual;Normal
17/09/2015;300.0713368;10.4962038;14.2210742
18/09/2015;246.2341054;10.85364635;14.08741538
19/09/2015;262.793034;11.52307692;13.952405
20/09/2015;217.4305112;12.91118881;13.81608306
21/09/2015;217.6276136;13.39250749;13.67848996
22/09/2015;222.1308938;14.28221778;13.53966647
23/09/2015;163.0313584;15.68691309;13.39965373
24/09/2015;210.746759;13.77322677;13.25849322
25/09/2015;236.0574164;12.25774226;13.11622679
26/09/2015;203.7050044;11.52057942;12.97289657
27/09/2015;233.3964368;10.78371628;12.82854505
28/09/2015;257.9892396;10.64805195;12.68321499
29/09/2015;264.7879804;10.59260739;12.53694947
30/09/2015;313.4701408;9.587012987;12.38979182
01/10/2015;304.6439284;9.433666334;12.24178565
02/10/2015;350.4124824;8.566233766;12.09297482
03/10/2015;359.8645582;8.502697303;11.94340343
04/10/2015;289.7624436;10.0037962;11.79311579
05/10/2015;265.3587184;11.65414585;11.64215643
06/10/2015;256.3601546;12.71528472;11.4905701
07/10/2015;220.2133446;13.06583417;11.33840171
08/10/2015;222.2203434;12.7992008;11.18569635
09/10/2015;217.4968478;13.04145854;11.03249926
10/10/2015;325.0377266;9.057442557;10.87885585
11/10/2015;346.9443128;10.07872128;10.72481165
12/10/2015;388.4005632;9.286213786;10.57041229
13/10/2015;373.2788206;8.223476523;10.41570354
14/10/2015;309.6417228;9.938261738;10.26073123
15/10/2015;279.583491;10.37082917;10.10554129
16/10/2015;313.2022694;9.373426573;9.950179705
17/10/2015;259.6675916;11.46153846;9.794692507
18/10/2015;282.892535;10.05084915;9.639125773
19/10/2015;298.9111486;10.45274725;9.483525602
20/10/2015;178.4429434;15.44645355;9.3279381
21/10/2015;182.5599444;14.697003;9.172409372
22/10/2015;183.1232956;16.02597403;9.016985503
23/10/2015;175.1979508;15.78581419;8.861712551
24/10/2015;214.5244004;12.81818182;8.706636525
25/10/2015;265.5842286;12.19000999;8.551803377
26/10/2015;181.264801;15.98851149;8.397258989
27/10/2015;172.889737;15.16033966;8.243049155
28/10/2015;166.8397574;15.11698302;8.08921957
29/10/2015;269.7827758;11.15184815;7.935815818
30/10/2015;359.2151422;8.390709291;7.782883355
31/10/2015;412.8816654;7.361838162;7.630467499
01/11/2015;396.6442834;8.838261738;7.478613414
02/11/2015;275.5772992;10.70629371;7.327366098
03/11/2015;326.0595348;9.218381618;7.176770368
04/11/2015;339.4026812;8.556543457;7.026870849
05/11/2015;397.861191;7.12027972;6.877711959
06/11/2015;340.8603154;8.426973027;6.729337898
07/11/2015;226.2339016;11.72657343;6.581792632
08/11/2015;262.5329654;10.15254745;6.435119881
09/11/2015;336.5441438;8.865834166;6.289363109
10/11/2015;420.9858908;5.825074925;6.144565506
11/11/2015;445.3248648;4.999100899;6.000769978
12/11/2015;499.9691198;4.808291708;5.858019136
13/11/2015;433.5001996;5.771828172;5.71635528
14/11/2015;462.0313068;4.422777223;5.575820387
15/11/2015;462.7205666;4.626173826;5.436456101
16/11/2015;466.6626204;3.808591409;5.298303718
17/11/2015;444.1919486;5.091808192;5.161404177
18/11/2015;423.9032284;5.348351648;5.025798044
19/11/2015;455.2882478;5.155544456;4.891525501
20/11/2015;470.6955278;3.527472527;4.758626337
21/11/2015;500.2779114;2.755344655;4.627139932
22/11/2015;473.0660868;3.977722278;4.497105249
23/11/2015;443.577934;5.178721279;4.368560819
24/11/2015;471.2906672;3.200799201;4.241544733
25/11/2015;567.7168224;0.338461538;4.116094629
26/11/2015;591.9501736;-0.888111888;3.992247681
27/11/2015;619.7086632;0.72997003;3.870040586
28/11/2015;524.30797;4.707292707;3.749509558
29/11/2015;482.4666766;4.608791209;3.630690313
30/11/2015;488.3119924;4.221878122;3.513618058
01/12/2015;470.2156392;5.151548452;3.398327486
02/12/2015;498.3163184;2.356743257;3.284852759
03/12/2015;583.071793;0.246453546;3.173227502
04/12/2015;551.5295646;1.9999001;3.063484792
05/12/2015;477.7394102;3.24955045;2.955657149
06/12/2015;511.9910726;1.705794206;2.849776523
07/12/2015;523.310775;2.00969031;2.745874291
08/12/2015;452.634283;5.07952048;2.643981239
09/12/2015;397.9676548;7.686113886;2.544127562
10/12/2015;418.7439068;6.795904096;2.446342848
11/12/2015;464.276568;4.759340659;2.350656073
12/12/2015;523.76279;2.435764236;2.257095591
13/12/2015;576.1948546;0.875224775;2.165689126
14/12/2015;565.0963048;1.827272727;2.076463763
15/12/2015;500.784488;4.472527473;1.989445942
16/12/2015;508.3406492;5.411088911;1.904661449
17/12/2015;506.2405912;4.982017982;1.822135406
18/12/2015;527.4774718;3.822377622;1.741892268
19/12/2015;447.8764548;4.90999001;1.663955813
20/12/2015;464.20574;3.913386613;1.588349135
21/12/2015;514.060154;4.303796204;1.515094638
22/12/2015;384.053431;7.763236763;1.444214029
23/12/2015;363.614911;7.438561439;1.37572831
24/12/2015;349.118911;10.07632368;1.309657777
25/12/2015;382.3600256;8.133266733;1.246022007
26/12/2015;444.261137;5.025974026;1.184839857
27/12/2015;441.3186924;6.280519481;1.126129456
28/12/2015;401.7754436;7.050849151;1.069908202
29/12/2015;449.598237;5.170529471;1.016192754
30/12/2015;529.4223862;2.906893107;0.964999029
31/12/2015;558.5921874;2.182317682;0.916342197
01/01/2016;528.147411;2.791308691;0.870236677
02/01/2016;449.6922978;5.554445554;0.826696129
03/01/2016;416.4681788;6.967532468;0.785733456
04/01/2016;418.8278676;6.420979021;0.747360797
05/01/2016;455.2453128;5.150549451;0.711589521
06/01/2016;457.3414912;6.196203796;0.678430229
07/01/2016;327.8946852;9.725474525;0.647892747
08/01/2016;328.211281;8.896303696;0.619986123
09/01/2016;345.3622516;8.694505495;0.594718627
10/01/2016;429.1581286;5.763236763;0.572097746
11/01/2016;497.8920684;4.575824176;0.552130183
12/01/2016;506.5847124;3.473226773;0.534821855
13/01/2016;508.5049528;3.164635365;0.52017789
14/01/2016;465.7382568;3.841758242;0.508202629
15/01/2016;488.591597;3.336363636;0.49889962
16/01/2016;461.2762608;4.218281718;0.492271618
17/01/2016;426.864111;6.075524476;0.488320589
18/01/2016;507.4431536;4.115784216;0.487047703
19/01/2016;535.651133;2.030669331;0.488453338
20/01/2016;539.5724414;0.025074925;0.492537076
21/01/2016;534.0669094;-0.342657343;0.499297708
22/01/2016;551.0317544;-1.047452547;0.50873323
23/01/2016;557.3490324;-1.397902098;0.520840846
24/01/2016;600.51763;-2.888711289;0.535616969
25/01/2016;662.013588;-5.507592408;0.553057221
26/01/2016;631.1957476;-4.88031968;0.573156432
