,Date,Demand,Demand_real,Supply,Supply_real,Decision,Decision_real
842,2018-02-05,222.011793140412,224.6957108,639.6245991284093,713.51,1,1
843,2018-03-05,259.89585894501613,281.0194928,541.734686926128,433.4300000000001,1,1
864,2018-01-06,141.18789056081388,126.8583592,336.55058245456325,474.82,1,1
885,2018-02-07,151.74898295689624,134.56845719999998,595.5411473334991,680.86,1,1
886,2018-03-07,167.85423477823156,174.1664844,433.33609559039087,314.49,1,1
892,2018-11-07,110.9928805046883,103.96876759999999,175.17971916335438,119.0,1,1
893,2018-12-07,128.85253329101255,104.71747459999999,176.97471677068796,165.48999999999998,1,1
907,2018-01-08,149.43437342985027,125.836582,463.51600623317364,604.0000000000001,1,1
908,2018-02-08,157.25069702253774,121.6547658,608.370510754503,555.33,1,1
909,2018-03-08,130.13592618361352,104.7320052,271.1943476409987,228.87,1,1
930,2018-03-09,126.92096498584685,122.37249399999999,241.39350165346406,167.0,1,1
937,2018-12-09,111.73187638404568,76.97504980000001,360.51825252475453,519.87,1,1
950,2018-01-10,206.53674977356775,171.4185256,440.611292782535,557.68,1,1
951,2018-02-10,219.66646707567742,192.3777368,508.1898763737323,711.29,1,1
959,2018-12-10,351.70697115200915,332.843103,476.4308145712176,606.31,1,1
973,2018-01-11,327.2325989870716,368.5657784,465.82644906722953,430.85999999999996,1,1
974,2018-02-11,388.74753560766885,372.81041,626.3988802733435,699.5999999999999,1,1
984,2018-11-16,320.8104807598886,319.2498026,410.22725662315173,361.80999999999995,1,1
985,2018-11-19,411.8988076389558,406.976874,441.19086052019316,674.08,1,1
986,2018-11-20,362.2686112755311,389.1582592,583.5035881491624,680.7199999999999,1,1
987,2018-11-21,266.98624848805605,317.3955348,573.6338435085762,512.43,1,1
988,2018-11-22,282.2393626036404,282.007119,429.306525442015,429.64,1,1
989,2018-11-23,342.25954312859915,324.193439,359.13256523281365,391.84,1,1
1011,2018-12-26,343.34789371639044,399.066285,463.6275822208539,534.88,1,1
1077,2019-01-04,181.2823695768588,157.0007354,233.4225273341211,253.17000000000004,1,1
1078,2019-02-04,221.54846339551796,222.88087480000002,401.1883007447536,393.10999999999996,1,1
1140,2019-01-07,162.71066766706338,107.3413758,284.09704032653576,415.88000000000005,1,1
1141,2019-02-07,166.70432510560929,111.53273440000001,259.23038468782886,175.36000000000004,1,1
1150,2019-07-15,157.37699220353605,152.7966946,299.7332187981793,319.0,1,1
1151,2019-07-16,140.71514027373098,105.9298428,308.8710497717968,341.0,1,1
1152,2019-07-17,132.14548080337036,167.3547114,316.71397318347624,327.8,1,1
1155,2019-07-22,120.90137053039928,119.8428756,196.75032316942088,150.92,1,1
1156,2019-07-23,133.1440324515341,94.97703879999999,163.26870200122053,151.45999999999998,1,1
1163,2019-01-08,113.84495955896065,154.7231802,424.35392724845013,589.6799999999998,1,1
1170,2019-12-08,173.5286057950396,98.38655379999999,174.8091061375502,239.67000000000002,1,1
1185,2019-02-09,202.05888763010844,199.81363380000002,219.21842786058525,440.88000000000005,1,1
1193,2019-12-09,201.06511512143152,195.90371499999998,295.49611652574754,299.06,1,1
1206,2019-01-10,225.2834201257781,211.682883,457.7491147840307,324.75,1,1
1207,2019-02-10,203.3053886008567,186.0363602,395.0281138384888,361.96000000000004,1,1
1229,2019-01-11,186.13618974696038,103.1840724,296.18546144986306,189.99,1,1
